eye_packets,753
norm_X,norm_Y,phi,theta,confidence,timestamp
1581665202.52411,"{'circle_3d': {'center': [-1.8715835913236192, 4.283018712892297, 76.6008188894746], 'normal': [-0.12164795177195918, 0.623669059670974, -0.7721649304642177], 'radius': 2.439647727303859}, 'confidence': 0.9992911610277907, 'timestamp': 7162.120138, 'diameter_3d': 4.879295454607718, 'ellipse': {'center': [144.90446535242248, 154.37757898419883], 'axes': [29.009871398857655, 39.50371210734418], 'angle': -78.19220931821052}, 'location': [144.90446535242248, 154.37757898419883], 'diameter': 39.50371210734418, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8981778029420462, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.244224052878787, 'phi': -1.727053452460733, 'norm_pos': [0.45282645422632023, 0.3567600875658382], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.531501,"{'circle_3d': {'center': [-1.877727331327303, 4.284977243216846, 76.60337126148107], 'normal': [-0.1221599301055995, 0.623832270531353, -0.7719522327970118], 'radius': 2.4246897439067276}, 'confidence': 0.9992103905734233, 'timestamp': 7162.128538, 'diameter_3d': 4.849379487813455, 'ellipse': {'center': [144.85479916197, 154.39584771817417], 'axes': [28.820738075543336, 39.26011943212515], 'angle': -78.14864249529563}, 'location': [144.85479916197, 154.39584771817417], 'diameter': 39.26011943212515, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8980590514910181, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.244432862985379, 'phi': -1.7277428971961837, 'norm_pos': [0.4526712473811562, 0.3566839678409409], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.539584,"{'circle_3d': {'center': [-1.882832351620058, 4.30802418979579, 76.62285445145827], 'normal': [-0.12258534846332908, 0.6257528494129317, -0.7703286336322447], 'radius': 2.445506737292696}, 'confidence': 0.9996231835738557, 'timestamp': 7162.136938, 'diameter_3d': 4.891013474585392, 'ellipse': {'center': [144.81826105788045, 154.5686092595443], 'axes': [28.984720730961975, 39.58730043653767], 'angle': -78.14865031135761}, 'location': [144.81826105788045, 154.5686092595443], 'diameter': 39.58730043653767, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8980486930453169, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.246892651601825, 'phi': -1.7286069288483799, 'norm_pos': [0.4525570658058764, 0.35596412808523203], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.552605,"{'circle_3d': {'center': [-1.87846357601495, 4.297479333473341, 76.61360511484405], 'normal': [-0.12222128382957007, 0.624874111386061, -0.7710994116834303], 'radius': 2.4284409610124}, 'confidence': 0.9960469871905926, 'timestamp': 7162.145338, 'diameter_3d': 4.8568819220248, 'ellipse': {'center': [144.85096245789265, 154.49149765515244], 'axes': [28.82180796568007, 39.31564986532584], 'angle': -78.16413134217221}, 'location': [144.85096245789265, 154.49149765515244], 'diameter': 39.31564986532584, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.897989827976875, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.245766603650289, 'phi': -1.727991253580769, 'norm_pos': [0.45265925768091453, 0.3562854264368648], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.5556328,"{'circle_3d': {'center': [-1.8745085264047963, 4.303525238112695, 76.61788144389261], 'normal': [-0.12189169636205725, 0.6253779367726738, -0.7707430509293831], 'radius': 2.440289964519142}, 'confidence': 0.9594225400908933, 'timestamp': 7162.153738, 'diameter_3d': 4.880579929038284, 'ellipse': {'center': [144.88414166165606, 154.5356474313171], 'axes': [28.944466724243824, 39.50535272823432], 'angle': -78.20440585448031}, 'location': [144.88414166165606, 154.5356474313171], 'diameter': 39.50535272823432, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8980452559595009, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2464121001628023, 'phi': -1.7276455808061062, 'norm_pos': [0.4527629426926752, 0.3561014690361788], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.563694,"{'circle_3d': {'center': [-1.8671084710426076, 4.293420151552842, 76.60852512268357], 'normal': [-0.12127502508187485, 0.6245358462260193, -0.7715227443634702], 'radius': 2.4374289012327517}, 'confidence': 0.9994987952938865, 'timestamp': 7162.162138, 'diameter_3d': 4.874857802465503, 'ellipse': {'center': [144.94187051796658, 154.4587540790564], 'axes': [28.950774469185273, 39.46380154818878], 'angle': -78.24383007763724}, 'location': [144.94187051796658, 154.4587540790564], 'diameter': 39.46380154818878, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8980245521160723, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2453334084637793, 'phi': -1.7267097312980946, 'norm_pos': [0.45294334536864556, 0.35642185800393167], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.575896,"{'circle_3d': {'center': [-1.863110312519844, 4.274956924926758, 76.59298327462966], 'normal': [-0.12094184520497789, 0.622997244007179, -0.7728178983679627], 'radius': 2.4210652941460267}, 'confidence': 0.9986386244548093, 'timestamp': 7162.170538, 'diameter_3d': 4.842130588292053, 'ellipse': {'center': [144.97046553029233, 154.32020325312845], 'axes': [28.822353721024484, 39.206673066511016], 'angle': -78.24338196651186}, 'location': [144.97046553029233, 154.32020325312845], 'diameter': 39.206673066511016, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8977284674006047, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.24336490556552, 'phi': -1.7260318523299378, 'norm_pos': [0.4530327047821635, 0.35699915311196473], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.58319,"{'circle_3d': {'center': [-1.8762663441464524, 4.280554748977378, 76.59956809588608], 'normal': [-0.12203818117386195, 0.6234637293447307, -0.7722691632632601], 'radius': 2.421978570657074}, 'confidence': 0.9988498870981056, 'timestamp': 7162.178938, 'diameter_3d': 4.843957141314148, 'ellipse': {'center': [144.86573540814345, 154.36240652644466], 'axes': [28.80468816056869, 39.21814000965611], 'angle': -78.15231577816034}, 'location': [144.86573540814345, 154.36240652644466], 'diameter': 39.21814000965611, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8976546466997193, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.24396140501046, 'phi': -1.7275257337552377, 'norm_pos': [0.45270542315044826, 0.35682330613981394], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.5916328,"{'circle_3d': {'center': [-1.8664460253655277, 4.303003722108575, 76.61618690113205], 'normal': [-0.12121982127545153, 0.6253344771056638, -0.7708842628260962], 'radius': 2.437321238302368}, 'confidence': 0.9989709080168391, 'timestamp': 7162.187338, 'diameter_3d': 4.874642476604736, 'ellipse': {'center': [144.9486396509721, 154.53284407748467], 'axes': [28.916827903024444, 39.45812302421817], 'angle': -78.26491581306847}, 'location': [144.9486396509721, 154.53284407748467], 'diameter': 39.45812302421817, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8975717862514165, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.246356406876306, 'phi': -1.7267668984939977, 'norm_pos': [0.4529644989092878, 0.35611314967714724], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.599284,"{'circle_3d': {'center': [-1.8655763714758176, 4.291730762557066, 76.6069171792281], 'normal': [-0.12114735011797571, 0.6243950638097047, -0.7716567396514252], 'radius': 2.4286620372000947}, 'confidence': 0.9989078909231055, 'timestamp': 7162.195738, 'diameter_3d': 4.857324074400189, 'ellipse': {'center': [144.95353445719687, 154.4478728384836], 'axes': [28.853469725919414, 39.32262044841566], 'angle': -78.25268779828843}, 'location': [144.95353445719687, 154.4478728384836], 'diameter': 39.32262044841566, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8973100139271328, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2451531613871425, 'phi': -1.7265216225206783, 'norm_pos': [0.4529797951787402, 0.3564671965063184], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665202.607559,"{'circle_3d': {'center': [-1.8749964847307332, 4.298813041876451, 76.61413712702236], 'normal': [-0.12193235955588533, 0.6249852537529867, -0.7710550773352374], 'radius': 2.4199429275711704}, 'confidence': 0.9980386676158743, 'timestamp': 7162.204138, 'diameter_3d': 4.839885855142341, 'ellipse': {'center': [144.87862668977755, 154.50402353322968], 'axes': [28.71877313097632, 39.1777341914265], 'angle': -78.1927850638345}, 'location': [144.87862668977755, 154.50402353322968], 'diameter': 39.1777341914265, 'sphere': {'center': [-0.41180817006010917, -3.20101000315939, 85.86679805504521], 'radius': 12.0}, 'projected_sphere': {'center': [157.02654493680325, 96.88715257920099], 'axes': [173.2916603046165, 173.2916603046165], 'angle': 90.0}, 'model_confidence': 0.8967938390008201, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2459089695602987, 'phi': -1.7276345940588589, 'norm_pos': [0.45274570840555484, 0.3562332352782096], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
